"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"3JG1uFc40wfyrqaWC7iv0e","i like the way you kiss me","Artemas","25","1","2","UA","2025-01-08","82","False","142514","yustyna","2024-07-11","0.599","0.946","11","-4.263","1","0.0447","0.000938","0.0106","0.0826","0.747","151.647","4"
"7biChppM3c8q7qcVl7ceb2","ЛАБИРИНТ","FACE","26","-3","8","UA","2025-01-08","62","False","169130","12","2019-10-01","0.866","0.722","4","-6.497","0","0.144","0.213","0.0","0.183","0.912","137.943","4"
"7bBZdL9ZTDKbNN7J1Alla4","Їде дах","Klavdia Petrivna, Маша Кондратенко","27","-2","3","UA","2025-01-08","53","False","180000","Їде дах","2024-08-13","0.787","0.769","3","-5.905","0","0.0794","0.158","0.0","0.149","0.667","119.116","4"
"12TC6zACzfx6ey8ZAP6R3y","А що?","MONATIK","28","0","1","UA","2025-01-08","55","False","197727","А що?","2024-05-22","0.705","0.777","9","-5.23","0","0.182","0.129","0.00034","0.0616","0.82","87.743","4"
"2xEFfGz4j5UpL2FNEhVI81","больно","fleurnothappy","29","1","11","UA","2025-01-08","61","False","84000","больно","2024-05-17","0.705","0.502","9","-8.491","1","0.136","0.652","0.00367","0.121","0.39","140.086","4"
"0xS08Lk8uNc84YCx1cJtHV","Pose","Полка","30","2","-11","UA","2025-01-08","60","True","90315","Pose","2024-12-06","0.865","0.18","10","-10.752","0","0.186","0.164","0.0451","0.11","0.293","97.013","4"
"1GaJ8rxMQPzCfdZeMGH82G","Страшный сон 2","Раковая Выхухоль","31","-9","10","UA","2025-01-08","60","True","110168","Страшный сон 2","2024-10-25","0.693","0.456","5","-10.826","1","0.332","0.826","3.78e-05","0.324","0.388","153.325","4"
"3IuQWB6BsGFc55IOCOGzBK","Персонажі","SadSvit","32","-1","-4","UA","2025-01-08","56","False","189899","Персонажі","2022-02-26","0.639","0.483","8","-10.107","1","0.0284","0.352","0.000102","0.127","0.489","140.05","4"
"2LwsunYgfRoqyIsNtgOCQx","Ma Meilleure Ennemie (from the series Arcane League of Legends)","Arcane, Stromae, Pomme","33","17","17","UA","2025-01-08","86","False","147973","Arcane League of Legends: Season 2 (Soundtrack from the Animated Series)","2024-11-23","0.678","0.604","4","-7.926","0","0.0962","0.00465","0.000936","0.278","0.374","88.0","4"
"1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","34","2","16","UA","2025-01-08","92","True","256000","Timeless","2024-09-27","0.769","0.722","11","-5.485","0","0.0507","0.0584","2.56e-06","0.111","0.57","119.973","4"
"4GBfKfnvmcTcNrlJcV4OLV","Четыре тридцать","Violetta Sokolova","35","-1","12","UA","2025-01-08","60","True","133475","Четыре тридцать","2022-05-13","0.432","0.793","4","-3.432","1","0.0561","0.313","0.0","0.589","0.723","200.075","4"
"5UW6yvwo3nVA609NgprdhK","Супермаркет","Poshlaya Molly","36","1","-4","UA","2025-01-08","61","True","214418","8 способов как бросить...","2017-02-24","0.536","0.848","1","-8.317","0","0.0262","0.00619","0.0","0.0838","0.853","130.073","4"
"7ojBwkKhmZzXDjrqwfLH26","портреты - Acoustic","zhanulka","37","3","2","UA","2025-01-08","61","False","172094","портреты (Acoustic)","2022-09-09","0.655","0.308","4","-9.904","0","0.0356","0.903","0.0","0.183","0.397","94.811","4"
"1wC8M93ofAwfrV9a4mDzYa","Це любов","Kalush Orchestra","38","10","5","UA","2025-01-08","53","False","156338","Це любов","2023-12-14","0.792","0.485","10","-6.601","0","0.0745","0.44","0.0","0.0787","0.437","141.957","4"
"2CKbBBLXXWqTopO1vvS8y1","Я тобі брехала","Klavdia Petrivna","39","-6","-8","UA","2025-01-08","56","False","137714","Я тобі брехала","2024-02-13","0.787","0.626","6","-9.2","0","0.0596","0.474","0.0023","0.166","0.485","105.004","4"
"2bqS0QtnXGjOYs3z6VtSyW","Контракт","Poshlaya Molly","40","7","2","UA","2025-01-08","61","False","204756","Контракт","2021-03-12","0.682","0.806","0","-6.184","1","0.0418","0.000461","0.0","0.217","0.872","109.972","4"
"4UVOeu9J9wxIl9hFnyoUdg","ЧУЖІЮ Я","NAZVA, BRYKULETS","41","1","-17","UA","2025-01-08","42","False","203538","Паросток","2024-11-08","0.69","0.691","9","-6.433","0","0.147","0.459","0.0","0.181","0.205","130.089","4"
